satisfaction_level;last_evaluation;number_project;average_monthly_hours;tenure;work_accident;promotion_last_5years;salary;department;left;workload_segment;high_performer_unsatisfied;critical_tenure;overdue_promotion;risk_score;leaving_probability;attrition_risk;risk_reasons
0,4;0,56;2;130;3;1;0;medium;sales;1;Underutilized;0;1;0;2;0,9978035997850339;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Underutilized | Too Few Projects (<3)
0,11;0,93;7;296;4;0;0;low;RandD;1;Overworked;1;1;0;4;0,9975852743826132;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Overworked | Too Many Projects (>5) | High Performer but Unsatisfied | Low Salary
0,11;0,91;6;302;4;0;0;low;RandD;1;Overworked;1;1;0;4;0,9974457407939549;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Overworked | Too Many Projects (>5) | High Performer but Unsatisfied | Low Salary
0,09;0,93;6;308;4;0;0;low;RandD;1;Overworked;1;1;0;4;0,9974457407939549;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Overworked | Too Many Projects (>5) | High Performer but Unsatisfied | Low Salary
0,42;0,52;2;141;3;1;0;medium;sales;1;Underutilized;0;1;0;2;0,9974198218286269;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Underutilized | Too Few Projects (<3)
0,44;0,47;2;156;3;1;0;medium;sales;1;Balanced;0;1;0;1;0,9973815784874565;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Too Few Projects (<3)
0,45;0,51;2;155;3;1;0;medium;sales;1;Balanced;0;1;0;1;0,9970871378533256;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Too Few Projects (<3)
0,43;0,53;2;150;3;0;0;low;sales;1;Underutilized;0;1;0;3;0,9970314225216224;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Underutilized | Too Few Projects (<3) | Low Salary
0,43;0,47;2;135;3;0;0;low;sales;1;Underutilized;0;1;0;3;0,9969866352845419;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Underutilized | Too Few Projects (<3) | Low Salary
0,4;0,57;2;152;3;0;0;low;sales;1;Balanced;0;1;0;2;0,9969831673077083;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Too Few Projects (<3) | Low Salary
0,43;0,57;2;157;3;0;0;low;sales;1;Balanced;0;1;0;2;0,996981410843841;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Too Few Projects (<3) | Low Salary
0,4;0,53;2;158;3;0;0;low;sales;1;Balanced;0;1;0;2;0,996976716530881;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Too Few Projects (<3) | Low Salary
0,41;0,47;2;154;3;0;0;low;sales;1;Balanced;0;1;0;2;0,9969732954077363;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Too Few Projects (<3) | Low Salary
0,41;0,53;2;157;3;0;0;low;sales;1;Balanced;0;1;0;2;0,9969638814217557;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Too Few Projects (<3) | Low Salary
0,4;0,46;2;130;3;0;0;low;sales;1;Underutilized;0;1;0;3;0,9969601605211049;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Underutilized | Too Few Projects (<3) | Low Salary
0,42;0,46;2;132;3;0;0;low;sales;1;Underutilized;0;1;0;3;0,9969587553548833;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Underutilized | Too Few Projects (<3) | Low Salary
0,42;0,47;2;135;3;0;0;low;sales;1;Underutilized;0;1;0;3;0,9969587553548833;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Underutilized | Too Few Projects (<3) | Low Salary
0,39;0,48;2;151;3;0;0;low;sales;1;Underutilized;0;1;0;3;0,9969479439519487;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Underutilized | Too Few Projects (<3) | Low Salary
0,41;0,47;2;138;3;0;0;low;sales;1;Underutilized;0;1;0;3;0,9969473254119796;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Underutilized | Too Few Projects (<3) | Low Salary
0,39;0,46;2;156;3;0;0;low;sales;1;Balanced;0;1;0;2;0,9969197127246444;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Too Few Projects (<3) | Low Salary
0,42;0,48;2;140;3;0;0;low;sales;1;Underutilized;0;1;0;3;0,9969072798200149;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Underutilized | Too Few Projects (<3) | Low Salary
0,43;0,54;2;156;3;0;0;low;sales;1;Balanced;0;1;0;2;0,9969043982038862;High Risk;Low Satisfaction | Critical Tenure (Year 3-5) | Too Few Projects (<3) | Low Salary
